Time,CH1,CH2
0.0,0.020000001,-0.008
0.00010000098,0.026,-0.008
0.00020000196,0.024,-0.008
0.00030000295,0.028,-0.006
0.00040000392,0.028,-0.006
0.0005000049,0.024,-0.008
0.0006000059,0.026,-0.004
0.0007000069,0.024,-0.006
0.00080000784,0.028,-0.004
0.00090000883,0.026,-0.006
0.0010000098,0.026,-0.006
0.0011000108,0.024,-0.006
0.0012000118,0.028,-0.004
0.0013000128,0.026,-0.004
0.0014000138,0.026,-0.006
0.0015000148,0.024,-0.006
0.0016000157,0.028,-0.004
0.0017000167,0.028,-0.004
0.0018000177,0.028,-0.006
0.0019000187,0.024,-0.008
0.0020000197,0.024,-0.006
0.0021000206,0.028,-0.004
0.0022000216,0.022000002,-0.008
0.0023000226,0.026,-0.004
0.0024000236,0.024,-0.006
0.0025000246,0.028,-0.004
0.0026000256,0.026,-0.008
0.0027000266,0.026,-0.006
0.0028000276,0.028,-0.006
0.0029000286,0.026,-0.008
0.0030000296,0.024,-0.004
0.0031000306,0.024,-0.006
0.0032000314,0.026,-0.006
0.0033000323,0.026,-0.004
0.0034000333,0.026,-0.006
0.0035000343,0.028,-0.008
0.0036000353,0.024,-0.006
0.0037000363,0.028,-0.006
0.0038000373,0.030000001,-0.002
0.0039000383,0.026,-0.006
0.0040000393,0.028,-0.004
0.0041000405,0.026,-0.006
0.0042000413,0.030000001,-0.002
0.004300042,0.024,-0.006
0.0044000433,0.024,-0.006
0.004500044,0.024,-0.008
0.0046000453,0.026,-0.004
0.004700046,0.026,-0.006
0.0048000473,0.022000002,-0.010000001
0.004900048,0.028,-0.004
0.0050000492,0.026,-0.006
0.00510005,0.028,-0.006
0.0052000512,0.024,-0.006
0.005300052,0.028,-0.004
0.005400053,0.032,-0.002
0.005500054,0.024,-0.006
0.005600055,0.026,-0.006
0.005700056,0.024,-0.006
0.005800057,0.028,-0.006
0.005900058,0.024,-0.006
0.006000059,0.026,-0.004
0.00610006,0.030000001,0.002
0.006200061,0.026,-0.006
0.006300062,0.026,-0.006
0.0064000627,0.026,-0.006
0.006500064,0.026,-0.006
0.0066000647,0.026,-0.006
0.006700066,0.026,-0.006
0.0068000667,0.030000001,0.0
0.006900068,0.026,-0.006
0.0070000687,0.026,-0.004
0.00710007,0.026,-0.008
0.0072000707,0.026,-0.006
0.007300072,0.028,-0.004
0.0074000726,0.028,-0.006
0.007500074,0.028,-0.002
0.0076000746,0.026,-0.006
0.007700076,0.028,-0.006
0.0078000766,0.024,-0.006
0.007900078,0.028,-0.004
0.008000079,0.028,-0.004
0.008100079,0.026,-0.004
0.008200081,0.030000001,-0.002
0.008300082,0.028,-0.004
0.008400083,0.028,-0.004
0.008500083,0.026,-0.004
0.008600084,0.028,-0.004
0.008700086,0.030000001,-0.002
0.008800087,0.026,-0.006
0.008900087,0.026,-0.004
0.009000088,0.014,-0.022000002
0.00910009,0.028,-0.006
0.009200091,0.0,-0.030000001
0.009300091,0.024,-0.006
0.009400092,0.026,-0.008
0.009500094,0.024,-0.006
0.0096000945,0.028,-0.004
0.009700095,0.028,-0.004
0.009800096,0.026,-0.006
0.009900098,0.022000002,-0.008
0.0100000985,0.026,-0.006
0.010100099,0.026,-0.004
0.0102001,0.022000002,-0.006
0.010300102,0.024,-0.006
0.0104001025,0.046000004,0.006
0.010500103,0.026,-0.006
0.010600104,0.028,-0.008
0.010700105,0.026,-0.004
0.010800106,0.024,-0.006
0.010900107,0.028,-0.004
0.011000108,0.024,-0.008
0.011100109,0.024,-0.008
0.01120011,0.022000002,-0.010000001
0.011300111,0.030000001,-0.004
0.011400112,0.022000002,-0.008
0.011500113,0.028,-0.006
0.011600114,0.026,-0.004
0.011700115,0.024,-0.004
0.011800116,0.028,-0.004
0.011900117,0.030000001,-0.002
0.012000118,0.032,0.004
0.012100119,0.028,-0.006
0.01220012,0.022000002,-0.006
0.012300121,0.028,-0.006
0.012400122,0.026,-0.006
0.012500123,0.028,-0.002
0.012600124,0.024,-0.006
0.012700125,0.024,-0.006
0.012800125,0.028,-0.006
0.012900127,0.024,-0.008
0.013000128,0.030000001,-0.004
0.013100129,0.024,-0.006
0.013200129,0.022000002,-0.006
0.013300131,0.026,-0.006
0.013400132,0.024,-0.006
0.013500133,0.026,-0.004
0.013600133,0.026,-0.006
0.013700135,0.028,-0.004
0.013800136,0.026,-0.008
0.013900137,0.026,-0.006
0.014000137,0.026,-0.006
0.014100139,0.024,-0.006
0.01420014,0.026,-0.006
0.014300141,0.024,-0.006
0.014400141,0.024,-0.008
0.014500143,0.026,-0.006
0.014600144,0.024,-0.006
0.0147001445,0.024,-0.006
0.014800145,0.014,-0.014
0.014900146,0.024,-0.006
0.015000148,0.024,-0.008
0.0151001485,0.024,-0.008
0.015200149,0.028,-0.006
0.01530015,0.022000002,-0.008
0.015400152,0.026,-0.006
0.0155001525,0.024,-0.008
0.015600153,0.022000002,-0.010000001
0.015700154,0.028,-0.004
0.015800156,0.024,-0.006
0.015900156,0.024,-0.006
0.016000157,0.026,-0.006
0.016100159,0.028,-0.002
0.016200159,0.026,-0.006
0.01630016,0.026,-0.006
0.016400162,0.026,-0.004
0.016500162,0.026,-0.006
0.016600164,0.024,-0.006
0.016700163,0.024,-0.006
0.016800165,0.022000002,-0.006
0.016900167,0.028,-0.004
0.017000167,0.024,-0.008
0.017100168,0.024,-0.006
0.017200168,0.024,-0.008
0.01730017,0.026,-0.006
0.017400172,0.024,-0.008
0.017500171,0.024,-0.008
0.017600173,0.026,-0.006
0.017700175,0.024,-0.008
0.017800175,0.024,-0.008
0.017900176,0.024,-0.006
0.018000176,0.024,-0.006
0.018100178,0.026,-0.006
0.01820018,0.024,-0.008
0.01830018,0.024,-0.006
0.018400181,0.024,-0.008
0.018500183,0.026,-0.006
0.018600183,0.028,-0.002
0.018700184,0.022000002,-0.012
0.018800184,0.028,-0.006
0.018900186,0.022000002,-0.006
0.019000188,0.028,-0.006
0.019100187,0.024,-0.006
0.019200189,0.024,-0.006
0.019300189,0.028,-0.004
0.01940019,0.028,-0.004
0.019500192,0.026,-0.004
0.019600192,0.022000002,-0.006
0.019700194,0.026,-0.006
0.019800195,0.024,-0.008
0.019900195,0.024,-0.006
0.020000197,0.028,-0.006
0.020100197,0.024,-0.008
0.020200199,0.026,-0.006
0.0203002,0.028,-0.006
0.0204002,0.028,-0.002
0.020500202,0.026,-0.004
0.020600203,0.024,-0.006
0.020700203,0.028,-0.006
0.020800205,0.028,-0.004
0.020900205,0.026,-0.006
0.021000206,0.030000001,0.0
0.021100208,0.024,-0.002
0.021200208,0.026,-0.006
0.02130021,0.018000001,-0.010000001
0.02140021,0.026,-0.006
0.021500211,0.024,-0.008
0.021600213,0.024,-0.006
0.021700213,0.028,-0.006
0.021800214,0.026,-0.006
0.021900216,0.026,-0.008
0.022000216,0.028,-0.004
0.022100218,0.028,-0.004
0.022200217,0.028,-0.004
0.02230022,0.030000001,0.0
0.02240022,0.030000001,-0.002
0.02250022,0.026,-0.004
0.022600222,0.026,-0.004
0.022700224,0.026,-0.002
0.022800224,0.024,-0.004
0.022900226,0.028,-0.004
0.023000225,0.024,-0.004
0.023100227,0.024,-0.006
0.023200229,0.028,-0.006
0.023300229,0.024,-0.004
0.02340023,0.030000001,-0.006
0.02350023,0.026,-0.006
0.023600232,0.028,-0.004
0.023700234,0.024,-0.004
0.023800233,0.024,-0.006
0.023900235,0.028,-0.006
0.024000237,0.024,-0.004
0.024100237,0.026,-0.006
0.024200238,0.012,-0.012
0.024300238,0.028,-0.004
0.02440024,0.032,0.0
0.024500242,0.022000002,-0.006
0.024600241,0.026,-0.004
0.024700243,0.022000002,-0.002
0.024800245,0.024,-0.008
0.024900245,0.024,-0.004
0.025000246,0.024,-0.006
0.025100246,0.024,-0.008
0.025200248,0.018000001,-0.010000001
0.02530025,0.026,-0.004
0.02540025,0.026,-0.006
0.025500251,0.026,-0.006
0.02560025,0.028,-0.006
0.025700253,0.022000002,-0.008
0.025800254,0.026,-0.006
0.025900254,0.024,-0.006
0.026000256,0.024,-0.006
0.026100257,0.026,-0.004
0.026200257,0.024,-0.006
0.026300259,0.022000002,-0.008
0.026400259,0.030000001,-0.002
0.02650026,0.026,-0.004
0.026600262,0.028,-0.004
0.026700262,0.024,-0.006
0.026800264,0.022000002,-0.010000001
0.026900265,0.024,-0.006
0.027000265,0.026,-0.006
0.027100267,0.028,-0.002
0.027200267,0.024,-0.006
0.027300268,0.028,-0.004
0.02740027,0.024,-0.004
